related,unrelated,word,condition
chasm,smash,chasm,low
oxide,manna,oxide,low
vowel,legit,vowel,low
clerk,blunt,clerk,low
bleed,slope,bleed,low
decor,nasal,decor,low
quirk,forte,quirk,low
speck,aloud,speck,low
stash,nymph,stash,low
ditch,crass,ditch,low
snare,squid,snare,low
budge,swirl,budge,low
slack,grunt,slack,low
sedan,taunt,sedan,low
tally,cigar,tally,low
posit,lunge,posit,low
flock,negro,flock,low
scorn,exert,scorn,low
grail,lathe,grail,low
bloat,viola,bloat,low
tumor,rival,tumor,low
acute,dizzy,acute,low
sauna,hertz,sauna,low
elect,haste,elect,low
spoof,poppy,spoof,low
plush,clove,plush,low
fiend,guise,fiend,low
knelt,magma,knelt,low
privy,lotto,privy,low
sigma,kayak,sigma,low
parse,taint,parse,low
carte,fanny,carte,low
verge,rouge,verge,low
mourn,vitro,mourn,low
shrug,floss,shrug,low
clasp,tempt,clasp,low
bathe,flirt,bathe,low
linen,fluff,linen,low
stare,butch,stare,low
medic,bowel,medic,low
weave,aspen,weave,low
flint,chime,flint,low
flank,crust,flank,low
scrub,spunk,scrub,low
hoist,stoke,hoist,low
stout,dairy,stout,low
cough,stale,cough,low
annex,gypsy,annex,low
plume,gloss,plume,low
quart,topaz,quart,low
proof,shoot,proof,high
clear,usual,clear,high
audio,teach,audio,high
apply,adult,apply,high
phone,allow,phone,high
class,forum,class,high
raise,whole,raise,high
civil,often,civil,high
match,issue,match,high
local,style,local,high
minor,coast,minor,high
below,reach,below,high
extra,smith,extra,high
court,speed,court,high
exact,sense,exact,high
bunch,write,bunch,high
quick,trust,quick,high
birth,sleep,birth,high
truth,reply,truth,high
serve,track,serve,high
trade,dream,trade,high
heart,image,heart,high
index,white,index,high
cable,flame,cable,high
break,value,break,high
woman,avoid,woman,high
front,short,front,high
voice,aware,voice,high
stock,large,stock,high
seven,prove,seven,high
blood,brand,blood,high
plain,river,plain,high
solid,guess,solid,high
limit,month,limit,high
scale,heard,scale,high
stuff,space,stuff,high
major,leave,major,high
brown,agree,brown,high
house,metal,house,high
stage,along,stage,high
built,print,built,high
video,worst,video,high
story,sound,story,high
march,faith,march,high
clean,quote,clean,high
price,train,price,high
event,small,event,high
thank,night,thank,high
radio,shell,radio,high
sorry,alone,sorry,high
inurt,strat,inurt,non-word
shawt,gleat,shawt,non-word
delax,dolio,delax,non-word
thelp,cutch,thelp,non-word
isapt,greaf,isapt,non-word
fopaz,broot,fopaz,non-word
fuxom,lubic,fuxom,non-word
bloot,drirk,bloot,non-word
scart,cooch,scart,non-word
frint,motem,frint,non-word
ahuck,abapt,ahuck,non-word
netro,nigit,netro,non-word
moust,hilac,moust,non-word
barsh,cojex,barsh,non-word
avort,prilt,avort,non-word
venem,whirp,venem,non-word
grack,shino,grack,non-word
ranth,nelch,ranth,non-word
frick,exulk,frick,non-word
nohew,morex,nohew,non-word
pramp,tamek,pramp,non-word
altep,miant,altep,non-word
scrib,bloth,scrib,non-word
tumph,bumbo,tumph,non-word
dorst,occut,dorst,non-word
thint,topec,thint,non-word
rourt,shoof,rourt,non-word
smout,spack,smout,non-word
kayuk,blenk,kayuk,non-word
drick,silaf,drick,non-word
smoop,crunk,smoop,non-word
deirm,fluck,deirm,non-word
ephic,ghisk,ephic,non-word
glurp,chrik,glurp,non-word
blumb,cetup,blumb,non-word
eicht,firch,eicht,non-word
forim,vasem,forim,non-word
slent,earch,slent,non-word
lepot,blont,lepot,non-word
plock,ecret,plock,non-word
ocheb,wateb,ocheb,non-word
febut,trook,febut,non-word
coreb,ruzak,coreb,non-word
frath,theet,frath,non-word
eggem,blamp,eggem,non-word
gredo,lambo,gredo,non-word
brost,aliom,brost,non-word
ganic,brust,ganic,non-word
polep,cleot,polep,non-word
snock,lindo,snock,non-word
fomit,driff,fomit,non-word
sholf,wrast,sholf,non-word
racef,lidst,racef,non-word
thamp,huirk,thamp,non-word
purso,pumbo,purso,non-word
glarm,whilo,glarm,non-word
fingo,murkt,fingo,non-word
gotch,steck,gotch,non-word
spuff,molax,spuff,non-word
schew,ronch,schew,non-word
humot,guesh,humot,non-word
sgrew,snump,sgrew,non-word
fadio,fleak,fadio,non-word
plint,recup,plint,non-word
pheek,loast,pheek,non-word
blasm,smalt,blasm,non-word
reash,swimp,reash,non-word
chank,tymph,chank,non-word
septh,laget,septh,non-word
feeth,gluck,feeth,non-word
tosit,gatob,tosit,non-word
exuct,sauto,exuct,non-word
ethym,crunt,ethym,non-word
feght,pranc,feght,non-word
stoff,twank,stoff,non-word
cruck,letap,cruck,non-word
fatho,alash,fatho,non-word
firsh,sharf,firsh,non-word
paltz,frimp,paltz,non-word
thark,lumpo,thark,non-word
aufit,huilt,aufit,non-word
hinup,brosk,hinup,non-word
jongo,dulch,jongo,non-word
guast,dealf,guast,non-word
sunch,drash,sunch,non-word
cleak,prock,cleak,non-word
stram,spaft,stram,non-word
etuip,criex,etuip,non-word
opert,phumb,opert,non-word
keach,denet,keach,non-word
umarm,bluck,umarm,non-word
tooch,racet,tooch,non-word
chuth,phrap,chuth,non-word
tedic,wight,tedic,non-word
mutch,lorro,mutch,non-word
hilth,oorph,hilth,non-word
pluff,praph,pluff,non-word
widet,aboot,widet,non-word
scook,hoest,scook,non-word
fisco,polic,fisco,non-word
gamit,glunk,gamit,non-word
phasm,letch,phasm,non-word
sondo,spink,sondo,non-word
vuint,dippo,vuint,non-word
rynic,astef,rynic,non-word
waget,tatch,waget,non-word
vooch,shoop,vooch,non-word
guilm,isloo,guilm,non-word
elsom,scack,elsom,non-word
crost,bliff,crost,non-word
alept,cempo,alept,non-word
robit,glaim,robit,non-word
noast,thunt,noast,non-word
bealm,plesh,bealm,non-word
hyrup,thoop,hyrup,non-word
chost,louth,chost,non-word
borif,preak,borif,non-word
starp,creck,starp,non-word
valif,realp,valif,non-word
raceb,ferit,raceb,non-word
dacit,theep,dacit,non-word
abert,murch,abert,non-word
paith,blomp,paith,non-word
mough,sloup,mough,non-word
plick,strit,plick,non-word
toost,skinp,toost,non-word
tacao,phock,tacao,non-word
kneak,cyrrh,kneak,non-word
vitch,ahack,vitch,non-word
paxim,saist,paxim,non-word
kingo,pheep,kingo,non-word
truff,ehert,truff,non-word
fundt,spuck,fundt,non-word
bloam,antuc,bloam,non-word
quilp,shish,quilp,non-word
fotch,gijou,fotch,non-word
broup,drarp,broup,non-word
krauf,stilp,krauf,non-word
swaft,doint,swaft,non-word
adoof,owlut,adoof,non-word
meash,swant,meash,non-word
afent,vepot,afent,non-word
setip,ploic,setip,non-word
linew,glick,linew,non-word
corax,hatex,corax,non-word
scock,framo,scock,non-word
quast,praft,quast,non-word
ipept,minch,ipept,non-word
gonet,ragic,gonet,non-word
lertz,stabt,lertz,non-word